Location,Type,Name
"40.667686856016154, -73.8904276968655",Spray Shower,Martin Luther King Jr. Playground
"40.74663080013982, -74.00430319011586",Spray Shower,Clement Clarke Moore Park
"40.73650624288465, -74.00565345533032",Spray Shower,Bleecker Playground
"40.669990976564776, -73.83918748696262",Spray Shower,Centreville Playground
"40.73542132617957, -73.85787358583502",Spray Shower,Real Good Playground
"40.70978557123366, -73.91780639626779",Spray Shower,Starr Playground
"40.82028470344353, -73.95195192007904",Spray Shower,Jacob H. Schiff Playground
"40.787238688466275, -73.94720552408045",Spray Shower,Cherry Tree Park
"40.773954347738425, -73.98711160362829",Spray Shower,Samuel N. Bennerson 2nd Playground
"40.64095208183654, -73.91741522757015",Spray Shower,Curtis Playground
"40.67576327763017, -73.99754018908219",Spray Shower,St. Mary's Park
"40.656745522972244, -73.86951506134241",Spray Shower,Berriman Playground
"40.618596805106655, -73.92710497592267",Spray Shower,Power Playground
"40.58888237372369, -73.94000594489393",Spray Shower,Sheepshead Playground
"40.736136557929775, -73.86957020284629",Spray Shower,Newtown Playground
"40.59801599025222, -73.9467817513374",Spray Shower,Galapo Playground
"40.667330129433694, -73.90758060402055",Spray Shower,Dr. Green Playground
"40.68465245661397, -73.99032449016092",Spray Shower,Boerum Park
"40.73629258044604, -73.85217410667615",Spray Shower,Playground Sixty Two LXII
"40.78370312575306, -73.79657527661271",Spray Shower,Willets Point Playground
"40.73292166679895, -73.71778169114731",Spray Shower,Bellerose Playground
"40.77568834530736, -73.81724367696319",Spray Shower,Leonardo Ingravallo Playground
"40.75726268088014, -73.77101268555563",Spray Shower,Marie Curie Playground
"40.75694594527009, -73.771607419438467",Pool,Marie Curie Park Mini Pool
"40.73600728534611, -73.77702680105784",Spray Shower,Farm Playground
"40.78128826931985, -73.84451627563183",Spray Shower,Poppenhusen Playground
"40.77826130116489, -73.79798916470006",Spray Shower,Playground Twenty One
"40.725195733185764, -73.94349214463836",Spray Shower,Monsignor Mcgolrick Playground
"40.59142828310698, -73.9455261823556",Spray Shower,Bill Brown Playground
"40.66269761624795, -73.89977006093048",Spray Shower,Lion's Pride Playground
"40.67699838765147, -74.00874641979978",Spray Shower,Coffey Park Playground
"40.81306920803241, -73.96207854690927",Spray Shower,Sakura Park
"40.83434856210145, -73.87776458244036",Spray Shower,Playground 174
"40.83445132015207, -73.87795918091355",Spray Shower,Captain William Harry Thompson Playground
"40.834163407830594, -73.877834371732618",Pool,Thompson Mini Pool
"40.78080814797391, -73.95024487898529",Spray Shower,Ruppert Park
"40.83885373126422, -73.85292693040046",Spray Shower,Castle Hill Playground
"40.90204093973479, -73.90496065929105",Spray Shower,Vinmont Veteran Park
"40.610837230394345, -73.74944355114961",Spray Shower,Redfern Playground
"40.60248075841224, -74.01146547350169",Spray Shower,Bath Beach Park
"40.76553174875022, -73.94126003825238",Spray Shower,Rainey Park Playground
"40.53212322826947, -74.1978157827859",Spray Shower,Woodhull Playground
"40.666404369032314, -73.92794498758661",Spray Shower,Lincoln Terrace Park / Arthur S. Somers Playground
"40.677114411102295, -73.91939083769151",Spray Shower,Weeksville Playground
"40.814136559758374, -73.88597051944393",Spray Shower,Hunts Point Playground
"40.75818532409386, -73.82486572098252",Spray Shower,Bowne Playground
"40.70586858392012, -73.87529505937911",Spray Shower,Pinocchio Playground
"40.73626951354418, -73.81386396219416",Spray Shower,Pomonok Playground
"40.791951183131516, -73.80815230444806",Spray Shower,Whitestone Playground
"40.67526975793097, -73.91403165731239",Spray Shower,Hilltop Playground
"40.72864158212618, -73.95782094047816",Spray Shower,American Playground
"40.754179985578645, -73.88936635145583",Spray Shower,Travers Park
"40.72229328837875, -73.8369232365568",Spray Shower,Willow Lake Playground
"40.82213405930082, -73.85987165253125",Spray Shower,Space Time Playground
"40.822986653904444, -73.91357938133832",Spray Shower,Yolanda García Park
"40.800208225299734, -73.95038949761654",Spray Shower,"Martin Luther King, Jr. Playground"
"40.700886275418235, -73.98559473320044",Spray Shower,Susan Smith McKinney Steward Park
"40.85325397563299, -73.9379337546694",Spray Shower,Bennett Park
"40.64462777581053, -73.89328422233831",Spray Shower,P.S. 279 Playground
"40.74243024539233, -73.98726987878118",Spray Shower,Madison Square Park
"40.72758662037964, -73.99623838403843",Spray Shower,Mercer Playground
"40.88803617813019, -73.90525055091868",Spray Shower,MacLaughlin Playground
"40.6634910040271, -73.95004645344113",Spray Shower,Marc And Jason's Playground
"40.60727712247339, -73.75079814666526",Spray Shower,Nameoke Park
"40.742692646999714, -73.74139279896642",Spray Shower,Wild Flower Meadow Playground
"40.75872018680614, -73.75382868569996",Spray Shower,Horatio Playground
"40.69656109749807, -73.98605125013391",Spray Shower,McLaughlin Park
"40.7065040146495, -73.77458410385415",Spray Shower,Peters Field
"40.721773087632954, -73.9860249276998",Spray Shower,ABC Playground
"40.837883040250844, -73.83090983364345",Spray Shower,Bufano Park
"40.61751043162045, -74.04003019160815",Spray Shower,Vinland Playground
"40.63152589327656, -74.03946824535244",Spray Shower,79 St Plgd
"40.631599788358386, -74.0395042066159",Spray Shower,79 St Playground
"40.61745123061278, -74.04001947541599",Spray Shower,Vinland Plgd
"40.68354674070127, -73.97263699461217",Spray Shower,South Oxford Park
"40.62960776775331, -74.11525422721324",Spray Shower,Austin J. McDonald Playground
"40.77935824388199, -73.92204440971442",Spray Shower,Charybdis Playground
"40.779354285278835, -73.922462185022496",Pool,Astoria Pool
"40.85139360193346, -73.868768153521",Spray Shower,Brady Plgd
"40.8729142326374, -73.8710407774668",Spray Shower,Rosewood Playground
"40.869926390443894, -73.87626148111812",Spray Shower,French Charley Plgd
"40.854467233291174, -73.87012422791462",Spray Shower,Ben Abrams Playground
"40.86062007534593, -73.87138138087391",Spray Shower,Waring Playground
"40.860489831941635, -73.87145330242687",Spray Shower,Waring Plgd
"40.84307311009611, -73.87735227169175",Spray Shower,River Park
"40.572383496640725, -73.98345387169738",Beach,Coney Island Beach Zone 5b
"40.87798406593305, -73.88272819677935",Spray Shower,Kossuth Playground
"40.8778109447341, -73.88263727290469",Spray Shower,Kossuth Plgd
"40.86952431632539, -73.92222822094479",Spray Shower,Emerson Playground
"40.867194401352336, -73.92872960000003",Spray Shower,Payson Playground
"40.871730626307034, -73.91989166242998",Spray Shower,Indian Road Playground
"40.81515880594382, -73.90168772942519",Spray Shower,Playground 52 LII
"40.81529705994678, -73.90137634627344",Spray Shower,Al Quiñones Playground
"40.59911824600928, -73.76685509489975",Spray Shower,Bayswater Playground
"40.594317495370845, -73.74938185931616",Beach,Roackaway Beach Zone 01B
"40.630933443245475, -74.01213010839322",Spray Shower,Leif Ericson Park Playground
"40.736004540213791, -73.975377043082787",Pool,Asser Levy Wading Pool
"40.736219742874496, -73.9757472394557",Pool,Asser Levy Pool
"40.656359225775525, -73.902796310724156",Pool,Brownsville Pool
"40.85597610017402, -73.88668760860448",Spray Shower,Ciccarone Park
"40.678359753394446, -73.90531416915717",Spray Shower,Callahan-Kelly Playground
"40.78406191848181, -73.9259581151982",Spray Shower,Scylla Playground
"40.68453822246908, -73.77014927645044",Spray Shower,Nautilus Playground
"40.67467515540194, -73.94000979568386",Spray Shower,St. Mark's Playground
"40.74147747385349, -73.77646276454007",Spray Shower,Holy Cow Playground
