Location,Type,Name
"40.72183924582231, -73.8240587043992",Spray Shower,Queens Valley Playground
"40.84562877804659, -73.91352709389545",Spray Shower,Jennie Jerome Playground
"40.68187452139989, -73.8394934206683",Spray Shower,Police Officer Nicholas Demutiis Park
"40.65997628542828, -73.76254872455642",Spray Shower,Springfield Playground
"40.700664373735556, -73.99492422981635",Spray Shower,Harry Chapin Playground
"40.68070143509815, -74.0020172550973",Spray Shower,Dimattina Playground
"40.61464498142643, -73.94505200280757",Spray Shower,Pfc Norton Playground
"40.63256992485332, -73.9296689482588",Spray Shower,Sunners Playground
"40.59698660653505, -73.95744721993017",Spray Shower,Mellett Playground
"40.66256640670984, -73.94096520005296",Spray Shower,Hamilton Metz Field
"40.62641663269216, -74.03603183935516",Spray Shower,Russell Pedersen Playground
"40.71043604878339, -73.95986126982164",Spray Shower,La Guardia Playground
"40.68224018372632, -73.95474563257817",Spray Shower,John Hancock Playground
"40.665890190408334, -73.95902323890431",Spray Shower,Jackie Robinson Playground
"40.71256621638547, -73.96343534740738",Spray Shower,Berry Playground
"40.680118631437836, -73.98472832847197",Spray Shower,Thomas Greene Playground
"40.680281345861637, -73.985728191119463",Pool,Douglas and DeGraw Wading Pool
"40.680551690060703, -73.985961606122515",Pool,Douglas and DeGraw Pool
"40.70847538399908, -73.963936721502",Spray Shower,Bedford Playground
"40.619921269385564, -74.16310571638053",Spray Shower,Jennifer's Playground
"40.6437077682074, -74.0800529084954",Spray Shower,Lt. Lia Playground
"40.505691848180852, -74.23533022023291",Pool,Tottenville Pool
"40.505540191395411, -74.235536474741394",Pool,Tottenville Wading Pool
"40.63877843376701, -74.11796325483037",Spray Shower,Corporal Thompson Playground
"40.637234466536469, -74.11905146297984",Pool,West Brighton Wading Pool
"40.637234968357916, -74.119448069557308",Pool,West Brighton Pool
"40.69556297130121, -73.9502816056643",Spray Shower,Marcy Playground
"40.63997219881854, -74.02388094918807",Spray Shower,John Allen Payne Playground
"40.5519853564193, -74.1359068208383",Spray Shower,Greencroft Playground
"40.58268389104259, -74.0894286830263",Spray Shower,Dongan Playground
"40.5226037447729, -74.18609146795559",Spray Shower,E.M.T. Christopher J. Prescott Playground
"40.62347935330908, -74.14589143257355",Spray Shower,Markham Playground
"40.68156817613866, -73.95917367746301",Spray Shower,Crispus Attucks Playground
"40.88099399630146, -73.9008721439935",Spray Shower,Bailey Playground
"40.80439033666381, -73.91674548488072",Spray Shower,Millbrook Playground
"40.88766205222607, -73.85890974043599",Spray Shower,Rienzi Playground
"40.874671938478684, -73.8652042987846",Spray Shower,Gun Hill Playground
"40.87341264561427, -73.86795477413321",Spray Shower,Magenta Playground
"40.76179374864573, -73.8841029826577",Spray Shower,Gorman Playground
"40.69728373770302, -73.94867376733984",Spray Shower,Stockton Playground
"40.74426715005784, -73.88675435822921",Spray Shower,Frank D. O'Connor Playground
"40.6459075601492, -73.98053136168156",Spray Shower,Albemarle Playground
"40.691372463153385, -73.93239338892906",Spray Shower,Jesse Owens Playground
"40.69185680216453, -73.932171019653481",Pool,JHS 57 / HS 26 Mini Pool
"40.711775698629374, -73.9795128099929",Spray Shower,Corlears Hook Park
"40.86384708344057, -73.90472640778148",Spray Shower,Devoe Park
"40.63286603788186, -73.92400610312272",Spray Shower,Fox Playground
"40.632802874693837, -73.923781854913514",Pool,David Fox / PS 251 Mini Pool
"40.760725686994455, -73.91844990760963",Spray Shower,Sean's Place
"40.76777981616792, -73.92281244840655",Spray Shower,Athens Square
"40.76133295170154, -73.94115449838118",Spray Shower,Spirit Playground
"40.78237817904395, -73.77759301102549",Spray Shower,Bay Terrace Playground
"40.70451083143061, -73.9043227844721",Spray Shower,Rosemary's Playground
"40.765913107067426, -73.79416037201037",Spray Shower,Auburndale Playground
"40.59568062339687, -73.78039698252728",Spray Shower,Conch Playground
"40.71550693104086, -73.80130311254517",Spray Shower,Joseph Austin Playground
"40.78309555925037, -73.80675906343993",Spray Shower,Clintonville Playground
"40.5850472878382, -73.82476621916537",Spray Shower,Bayside Playground
"40.7606808674308, -73.784148518181",Spray Shower,Francis Lewis Playground
"40.68169265132197, -73.85683973071545",Spray Shower,Ampere Playground
"40.73308777990354, -73.86053223207065",Spray Shower,Horace Harding Playground
"40.58065545692719, -73.8306295977546",Spray Shower,Seaside Playground
"40.65718326348871, -73.84362190112945",Spray Shower,Walter Ward Playground
"40.77416506367693, -73.81941883438701",Spray Shower,Hart Playground
"40.66474779420802, -73.85060220641984",Spray Shower,Harold Schneiderman Playground
"40.70660035914789, -73.75308186282398",Spray Shower,Hollis Playground
"40.69869997714007, -73.7397436638215",Spray Shower,East Springfield Playground
"40.69645659290071, -73.78586289442758",Spray Shower,Latimer Playground
"40.753274347595024, -73.7593744685897",Spray Shower,Oakland Gardens
"40.73247662752374, -73.7318856031375",Spray Shower,Detective William T. Gunn Playground
"40.72620323174084, -73.80824324934474",Spray Shower,Playground Seventy Five
"40.59954392559245, -73.75937966910686",Spray Shower,Grassmere Playground
"40.72402318933508, -73.85157796265295",Spray Shower,Russell Sage Playground
"40.77058669106467, -73.92831281393822",Spray Shower,Van Alst Playground
"40.72987170248984, -73.81597568875571",Spray Shower,Vleigh Playground
"40.71959111761439, -73.98412818321617",Spray Shower,Nathan Straus Playground
"40.721518603848395, -73.75810111049559",Spray Shower,Bellaire Playground
"40.73114874748305, -73.8515019322949",Spray Shower,Annadale Playground
"40.745031914713785, -73.70944228149885",Spray Shower,Playground Eighty LXXX
"40.74650525548998, -73.75814697011853",Spray Shower,Tall Oak Playground
"40.770952867988925, -73.73747301938",Spray Shower,Admiral (Sy Seplowe) Playground
"40.747725863782975, -73.77617233886423",Spray Shower,Saul Weprin Playground
"40.76182834966819, -73.73550101722589",Spray Shower,Louis Pasteur Park
"40.740806856630655, -73.71288759216509",Spray Shower,Hillside Playground
"40.74265874975266, -73.80825020023015",Spray Shower,Four Winds Playground
"40.749578632078155, -73.80729910468214",Spray Shower,Playground
"40.758163781263264, -73.83132143283035",Spray Shower,Bland Playground
"40.70918810796571, -73.78162284858729",Spray Shower,Harvard Playground
"40.652689816836194, -73.73650323141727",Spray Shower,Sunrise Playground
"40.696120066727644, -73.96104496046154",Spray Shower,Taaffe Playground
"40.61911977007965, -73.9985122840444",Spray Shower,Lt. Joseph Petrosino Park
"40.64559803526111, -74.01958914135014",Spray Shower,Martin Luther Playground
"40.670777762300865, -73.99372192947746",Spray Shower,Ennis Playground
"40.604151672555375, -73.95783759460441",Spray Shower,Kelly Park Playground
"40.509589746199154, -74.22976739444746",Spray Shower,Aesop Park
"40.82326595454201, -73.85041114877994",Spray Shower,P.O. Serrano Playground
"40.67391256010607, -73.94330514552647",Spray Shower,Brower Park
"40.763106861807586, -73.89223437689381",Spray Shower,Louis C. Moser Playground
"40.74731167830565, -73.92211784416969",Spray Shower,Torsney Playground
"40.77280249419437, -73.89744608049097",Spray Shower,Paul Raimonda Playground
"40.6083589427539, -73.7647027826223",Spray Shower,Westbourne Playground
"40.76785059769342, -73.93265732648007",Spray Shower,Astoria Health Playground
"40.741100228023704, -73.92248063603873",Spray Shower,L/CPL Thomas P. Noonan Jr. Playground
"40.707077317590624, -73.89825839931856",Spray Shower,Benninger Playground
"40.74888372256713, -73.86195276038599",Spray Shower,Park Of The Americas
"40.704114700608145, -73.80346028369424",Spray Shower,Rufus King Park Playground
"40.74259064264609, -73.87774474852141",Spray Shower,Veterans Grove
"40.60914512015602, -73.99996472790703",Spray Shower,Garibaldi Playground
"40.67278146382129, -73.98411344339972",Spray Shower,J.J. Byrne Playground
"40.684980583583744, -73.91945255182158",Spray Shower,Saratoga Park
"40.70582971858571, -73.94696120251419",Spray Shower,Sternberg Park
"40.664812182685736, -73.95227313299942",Spray Shower,Dodger Playground
"40.83591346408481, -73.90011726816063",Spray Shower,Playground Of The Stars
"40.83664344290318, -73.8943410029082",Spray Shower,Carter Plgd (7)
"40.840881232801195, -73.8974700598236",Spray Shower,Bathgate Playground
"40.83955215845824, -73.898506084456372",Pool,Crotona Pool
"40.82993973367064, -73.84779796244187",Spray Shower,Havemeyer Playground
"40.67769710934505, -73.88429892699308",Spray Shower,Sperandeo Brothers Playground
"40.561976700819926, -74.11135502956398",Spray Shower,Gerard P. Dugan Playground
"40.83438818097336, -73.86198322451071",Spray Shower,Virginia Playground
"40.83534447289618, -73.88519946857204",Spray Shower,Rock Garden Park
"40.833275159832716, -73.90311097750663",Spray Shower,Drew Playground
"40.64362339086089, -74.08609225458208",Spray Shower,Mahoney Playground
"40.789774109445375, -73.96877342263316",Spray Shower,Sol Bloom Playground
"40.82309022284661, -73.88809509459794",Spray Shower,Lyons Square Park
"40.852393506022274, -73.83495722378636",Spray Shower,Colucci Playground
"40.82384792110407, -73.88160483376322",Spray Shower,Colgate Close
"40.81987181062688, -73.9088421997855",Spray Shower,Grove Hill Playground
"40.80778989816033, -73.92518030236953",Spray Shower,Lozada Playground
"40.82978123259572, -73.95233679770527",Spray Shower,Ten Mile River Plgd
"40.81756056306335, -73.92839481022412",Spray Shower,Evelina Antonetty Playground
"40.813846673006836, -73.92129660222861",Spray Shower,Clark Playground
"40.80886535012578, -73.91909422378289",Spray Shower,Saw Mill Playground
"40.8025440366091, -73.91693827983893",Spray Shower,Playground One Thirty Four CXXXIV
"40.586580457886114, -74.10022752768143",Spray Shower,Gen. Douglas MacArthur Park
"40.585861500658552, -74.100690483614684",Pool,General Douglas MacArthur Mini Pool
"40.888330763529645, -73.84082226996814",Spray Shower,High Rock Plgd
"40.88397910480413, -73.84511601211138",Spray Shower,Edenwald Playground
"40.884274415628262, -73.845372879665746",Pool,Edenwald Houses Mini Pool
"40.710793131049925, -73.9938242898892",Spray Shower,Coleman Playground
"40.58915275412117, -73.78916442161875",Spray Shower,Beach 59th St Playground
"40.72476653908332, -73.89532928014273",Spray Shower,Frontera Park
"40.742141940089525, -73.88239704521078",Spray Shower,Moore Homestead Playground
"40.7295607258946, -73.87961383747465",Spray Shower,Crowley Playground
"40.86284995767431, -73.83655568246914",Spray Shower,Burns Playground
"40.86986887577593, -73.8527268093467",Spray Shower,Eastchester Playground
"40.86616118853491, -73.86873905840125",Spray Shower,Zimmerman Playground
"40.86868216338805, -73.86789883890222",Spray Shower,Parkside Playground
"40.847074087010505, -73.86164338526746",Spray Shower,Matthews Muliner Playground
"40.838708126463956, -73.84580960596865",Spray Shower,The Pearly Gates
"40.73877091483733, -73.75648270490836",Spray Shower,Telephone Playground
"40.692109380779954, -73.99896119001853",Spray Shower,Adam Yauch Park Playground
"40.6739824766685, -73.93574572996243",Spray Shower,St. John's Playground
"40.674019455255667, -73.934999967736161",Pool,St John's Pool
"40.74731842433079, -73.94871919599255",Spray Shower,Murray Playground
"40.69430885339083, -73.8221163928735",Spray Shower,"Phil ""Scooter"" Rizzuto Park"
"40.718571098630626, -73.88271049129773",Spray Shower,Juniper South Playground
"40.754862487966854, -73.87207725581155",Spray Shower,Junction Playground
"40.74756755456766, -73.91022613531416",Spray Shower,Lawrence Virgilio Playground
"40.747543528131963, -73.910803337442232",Pool,Windmuller Mini Pool
"40.71154182103574, -73.91111765473283",Spray Shower,Grover Cleveland Playground
"40.676665719785525, -73.96571997153478",Spray Shower,Underhill Playground
"40.67127294012066, -73.90482748554767",Spray Shower,Powell Playground
"40.675582359802185, -73.91973286051025",Spray Shower,South Pacific Playground
"40.63699664813112, -74.00099896292711",Spray Shower,Rappaport Playground
"40.63831475005245, -73.98037428109647",Spray Shower,Dome Playground
"40.62007558872262, -73.95800759867898",Spray Shower,Kolbert Playground
"40.655813047506975, -73.9475420232689",Spray Shower,Rolph Henry Playground
"40.6744279308918, -73.91218575046311",Spray Shower,Ocean Hill Playground
"40.68688863856228, -73.98126006652485",Spray Shower,Sixteen Sycamores Playground
"40.70586854841263, -73.93462981654584",Spray Shower,Gilbert Ramirez Park
"40.61018964305993, -73.9686917153861",Spray Shower,Colonel David Marcus Playground
"40.63823037633433, -73.93815316601253",Spray Shower,Paerdegat Park
"40.68638591892233, -73.93923458232592",Spray Shower,Raymond Bush Playground
"40.536990144493274, -74.16223208124129",Spray Shower,Lieutenant John H. Martinson Playground
"40.76149475683496, -73.9892527136307",Spray Shower,Ramon Aponte Park
"40.82307915506861, -73.95128561178713",Spray Shower,Alexander Hamilton Playground
"40.85947121889019, -73.8931166084986",Spray Shower,Webster Playground
"40.73907115964852, -74.0047936708032",Spray Shower,Corporal John A. Seravalli Playground
"40.78534705228558, -73.95082672189109",Spray Shower,Samuel Seabury Playground
"40.771243889089156, -73.90753475416604",Spray Shower,Ditmars Playground
"40.72305285177855, -73.82015747796925",Spray Shower,Freedom Square Playground
"40.688621338758374, -73.74224408950366",Spray Shower,Cambria Playground
"40.718584232076104, -73.82060674135342",Spray Shower,Judge Moses Weinstein Playground
"40.777392218261376, -73.90250492745108",Spray Shower,Woodtree Playground
"40.71581495042477, -73.83722389393118",Spray Shower,Ehrenreich-Austin Playground
"40.710370707737255, -73.82031712954759",Spray Shower,Hoover - Manton Playgrounds
"40.67454540037742, -73.80100684672097",Spray Shower,Playground One Forty
"40.69045918373075, -73.80904228029966",Spray Shower,Norelli-Hargreaves Playground
"40.7489223000933, -73.89738398175744",Spray Shower,General Hart Playground
"40.71424501849821, -73.98390589528023",Spray Shower,Sol Lain Plgd
"40.831672761350255, -73.94174877558117",Spray Shower,Wright Brothers Playground
"40.547030870707395, -74.15179768725",Spray Shower,Great Kills Veterans Playground
"40.69840820368421, -73.98934976139337",Spray Shower,Walt Whitman Park
"40.67101710910516, -73.87119211359554",Spray Shower,Cypress Hills Playground
"40.518329955081505, -74.18705050073048",Beach,Wolfe's Pond Park
"40.63819044000696, -73.8977746966829",Spray Shower,Sledge Playground
"40.60869014546541, -74.11957806824343",Spray Shower,Christopher J. Igneri Playground
"40.614848654815006, -74.07365597121883",Spray Shower,De Matti Park
"40.639409340107896, -74.03083228574486",Spray Shower,Owls Head Park
"40.6928028676261, -73.90885821901487",Spray Shower,Irving Square Park
"40.58940216040373, -74.18700645611136",Spray Shower,Schmul Park
"40.607579822465716, -74.06313632206827",Spray Shower,White Park
"40.607396512678726, -74.06297959109003",Spray Shower,White Park Playground
"40.63384100817704, -74.12899312134802",Spray Shower,Levy Playground
"40.62360300438768, -73.98419454429366",Spray Shower,Gravesend Park
"40.69235477245243, -73.97705469619797",Spray Shower,Fort Greene Plgd
"40.69011616336626, -73.97360932595323",Spray Shower,Fort Greene Park
"40.837495623944235, -73.8536681708743",Spray Shower,Caserta Playground
"40.68569498845992, -73.97204451800135",Spray Shower,Cuyler Gore Park
"40.71585257942299, -73.93724000264929",Spray Shower,Cooper Park
"40.715897632563276, -73.93763549871736",Spray Shower,Carnegie Plgd
"40.70053782562448, -73.95543128838344",Spray Shower,Middleton Playground
"40.701876700875744, -73.78379391784722",Spray Shower,K.l. Williams Playground (Tennis)
"40.701631612566139, -73.784087645009734",Pool,Liberty Pool
"40.701818291988339, -73.784148161321838",Pool,Liberty Wading Pool
"40.71873424524763, -73.9020775073679",Spray Shower,Reiff Playground
"40.72721013575492, -73.90414217511425",Spray Shower,Virginia Principe Playground
"40.725542488771644, -73.76629062337032",Spray Shower,McLaughlin Playground
"40.66556313878718, -73.82149646576804",Spray Shower,Lefferts Playground
"40.69531090945508, -73.96659099968511",Spray Shower,Washington Hall Park
"40.67969561253863, -73.9311180085976",Spray Shower,Elizabeth Stroud Playground
"40.73281605269032, -73.87146011523394",Spray Shower,Hoffman Park
"40.85123612874337, -73.91438073978813",Spray Shower,Morton Playground
"40.85125739396524, -73.91431781304013",Spray Shower,Morton Plgd
"40.66208156717394, -73.74205797744473",Spray Shower,Brookville Park Playground
"40.586100195131024, -73.95729161417243",Spray Shower,Homecrest Playground
"40.66619017520827, -73.8809893947958",Spray Shower,Elton Playground
"40.61148666852646, -74.08505419557865",Spray Shower,Lopez Playground
"40.68093341832827, -73.99495765040187",Spray Shower,Carroll Park
"40.771764348283824, -73.91701906323445",Spray Shower,Hoyt Playground
"40.67067423632641, -73.7360844208761",Spray Shower,Laurelton Playground
"40.72086134668607, -73.94954041342436",Spray Shower,Vincent V Abate Playground
"40.72060653723652, -73.949704366865774",Pool,McCarren Park Pool
"40.77411555080651, -73.92241240793082",Spray Shower,Triborough Bridge Playground C
"40.77466769889531, -73.92333956577215",Spray Shower,Triborough Bridge Playground B
"40.69612706661946, -73.91164408478521",Spray Shower,Bushwick Playground
"40.66610712395229, -73.88037103564025",Spray Shower,Linwood Playground
